Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
1,Exit long,2022-01-06 13:00,Trailing Stop,226.75,4.479,1000.02633,14.58,1.46,1.01,25.08,2.51,-17.12,-1.71,14.58,7.29,0
1,Entry long,2022-01-06 13:00,Long Entry,223.27,4.479,1000.02633,14.58,1.46,1.01,25.08,2.51,-17.12,-1.71,14.58,7.29,0
2,Exit long,2022-01-07 09:00,Trailing Stop,215.18,4.71,1000.0743,12.42,1.24,1.01,22.91,2.29,-0.5,-0.05,27,13.50,0
2,Entry long,2022-01-07 09:00,Long Entry,212.33,4.71,1000.0743,12.42,1.24,1.01,22.91,2.29,-0.5,-0.05,27,13.50,0
3,Exit long,2022-01-08 21:00,Trailing Stop,213.48,4.713,999.86295,5.27,0.53,1,15.76,1.58,-16.29,-1.63,32.26,16.13,0
3,Entry long,2022-01-08 21:00,Long Entry,212.15,4.713,999.86295,5.27,0.53,1,15.76,1.58,-16.29,-1.63,32.26,16.13,0
4,Exit long,2022-01-10 21:00,Trailing Stop,198.26,5.133,999.65175,17.01,1.70,1.01,27.48,2.75,-6.71,-0.67,49.27,24.63,1
4,Entry long,2022-01-10 17:00,Long Entry,194.75,5.133,999.65175,17.01,1.70,1.01,27.48,2.75,-6.71,-0.67,49.27,24.63,1
5,Exit short,2022-01-17 01:00,Stop Loss,236.7,4.305,999.9654,-20.04,-2.00,1.01,0,0.00,-19.53,-1.95,29.23,14.62,0
5,Entry short,2022-01-17 01:00,Short Entry,232.28,4.305,999.9654,-20.04,-2.00,1.01,0,0.00,-19.53,-1.95,29.23,14.62,0
6,Exit long,2022-01-24 13:00,Stop Loss,137.31,7.142,999.66574,-19.99,-2.00,0.99,0,0.00,-19.5,-1.95,9.24,4.62,0
6,Entry long,2022-01-24 13:00,Long Entry,139.97,7.142,999.66574,-19.99,-2.00,0.99,0,0.00,-19.5,-1.95,9.24,4.62,0
