Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
1,Exit long,2022-01-07 05:00,Trailing Stop,11.6982,86.296,999.911752,8.59,0.86,1,19.09,1.91,-5.68,-0.57,8.59,4.30,0
1,Entry long,2022-01-07 05:00,Long Entry,11.587,86.296,999.911752,8.59,0.86,1,19.09,1.91,-5.68,-0.57,8.59,4.30,0
2,Exit long,2022-01-07 17:00,Stop Loss,11.2824,86.948,999.988948,-20,-2.00,0.99,4.72,0.47,-19.51,-1.95,-11.41,-5.70,0
2,Entry long,2022-01-07 17:00,Long Entry,11.501,86.948,999.988948,-20,-2.00,0.99,4.72,0.47,-19.51,-1.95,-11.41,-5.70,0
3,Exit long,2022-01-08 05:00,Trailing Stop,11.5478,87.542,1000.079808,9.83,0.98,1.01,20.33,2.03,-3.21,-0.32,-1.57,-0.79,1
3,Entry long,2022-01-08 01:00,Long Entry,11.424,87.542,1000.079808,9.83,0.98,1.01,20.33,2.03,-3.21,-0.32,-1.57,-0.79,1
4,Exit long,2022-01-11 01:00,Trailing Stop,10.3382,98.222,1000.194626,14.24,1.42,1.01,24.74,2.47,-11.8,-1.18,12.66,6.33,1
4,Entry long,2022-01-10 21:00,Long Entry,10.183,98.222,1000.194626,14.24,1.42,1.01,24.74,2.47,-11.8,-1.18,12.66,6.33,1
5,Exit long,2022-01-21 09:00,Stop Loss,9.0879,107.944,999.993216,-20,-2.00,0.99,9.43,0.94,-19.51,-1.95,-7.34,-3.67,1
5,Entry long,2022-01-21 05:00,Long Entry,9.264,107.944,999.993216,-20,-2.00,0.99,9.43,0.94,-19.51,-1.95,-7.34,-3.67,1
6,Exit long,2022-01-23 21:00,Stop Loss,6.7149,146.07,999.84915,-19.99,-2.00,0.99,0.08,0.01,-19.5,-1.95,-27.33,-13.67,0
6,Entry long,2022-01-23 21:00,Long Entry,6.845,146.07,999.84915,-19.99,-2.00,0.99,0.08,0.01,-19.5,-1.95,-27.33,-13.67,0
7,Exit long,2022-01-24 13:00,Stop Loss,6.0429,162.179,999.02264,-19.98,-2.00,0.99,0,0.00,-19.49,-1.95,-47.31,-23.66,0
7,Entry long,2022-01-24 13:00,Long Entry,6.16,162.179,999.02264,-19.98,-2.00,0.99,0,0.00,-19.49,-1.95,-47.31,-23.66,0
8,Exit short,2022-02-06 17:00,Trailing Stop,8.7077,113.882,999.656196,7.01,0.70,1,17.49,1.75,-0.5,-0.05,-40.3,-20.15,0
8,Entry short,2022-02-06 17:00,Short Entry,8.778,113.882,999.656196,7.01,0.70,1,17.49,1.75,-0.5,-0.05,-40.3,-20.15,0
9,Exit long,2022-02-20 09:00,Trailing Stop,7.2461,138.888,999.715824,5.68,0.57,1,16.17,1.62,-0.5,-0.05,-34.62,-17.31,0
9,Entry long,2022-02-20 09:00,Long Entry,7.198,138.888,999.715824,5.68,0.57,1,16.17,1.62,-0.5,-0.05,-34.62,-17.31,0
10,Exit long,2022-02-20 17:00,Stop Loss,6.9641,140.864,999.993536,-19.99,-2.00,0.99,0,0.00,-19.5,-1.95,-54.62,-27.31,0
10,Entry long,2022-02-20 17:00,Long Entry,7.099,140.864,999.993536,-19.99,-2.00,0.99,0,0.00,-19.5,-1.95,-54.62,-27.31,0
11,Exit long,2022-02-21 01:00,Take Profit,7.5057,137.381,1000.13368,29.99,3.00,1.02,30.51,3.05,-0.91,-0.09,-24.63,-12.31,0
11,Entry long,2022-02-21 01:00,Long Entry,7.28,137.381,1000.13368,29.99,3.00,1.02,30.51,3.05,-0.91,-0.09,-24.63,-12.31,0
12,Exit long,2022-02-21 13:00,Trailing Stop,7.139,140.745,1000.274715,3.5,0.35,1,14,1.40,-0.5,-0.05,-21.12,-10.56,0
12,Entry long,2022-02-21 13:00,Long Entry,7.107,140.745,1000.274715,3.5,0.35,1,14,1.40,-0.5,-0.05,-21.12,-10.56,0
13,Exit long,2022-02-22 05:00,Take Profit,6.4933,158.78,999.99644,29.99,3.00,1.02,30.51,3.05,-3.83,-0.38,8.87,4.43,0
13,Entry long,2022-02-22 05:00,Long Entry,6.298,158.78,999.99644,29.99,3.00,1.02,30.51,3.05,-3.83,-0.38,8.87,4.43,0
14,Exit long,2022-02-24 13:00,Stop Loss,6.2862,155.981,999.526248,-19.99,-2.00,0.99,0,0.00,-19.5,-1.95,-11.12,-5.56,0
14,Entry long,2022-02-24 13:00,Long Entry,6.408,155.981,999.526248,-19.99,-2.00,0.99,0,0.00,-19.5,-1.95,-11.12,-5.56,0
15,Exit long,2022-03-07 21:00,Take Profit,6.3314,162.813,999.834633,29.98,3.00,1.02,30.5,3.05,-8.48,-0.85,18.87,9.43,0
15,Entry long,2022-03-07 21:00,Long Entry,6.141,162.813,999.834633,29.98,3.00,1.02,30.5,3.05,-8.48,-0.85,18.87,9.43,0
16,Exit long,2022-03-09 05:00,Trailing Stop,6.4441,156.323,1000.154554,6.2,0.62,1,16.7,1.67,-10.82,-1.08,25.07,12.53,1
16,Entry long,2022-03-09 01:00,Long Entry,6.398,156.323,1000.154554,6.2,0.62,1,16.7,1.67,-10.82,-1.08,25.07,12.53,1
17,Exit long,2022-03-10 17:00,Trailing Stop,5.9555,167.926,999.99933,-0.92,-0.09,1,9.58,0.96,-0.5,-0.05,24.15,12.08,0
17,Entry long,2022-03-10 17:00,Long Entry,5.955,167.926,999.99933,-0.92,-0.09,1,9.58,0.96,-0.5,-0.05,24.15,12.08,0
18,Exit long,2022-03-11 09:00,Trailing Stop,6.0684,167.757,1000.167234,16.84,1.68,1.01,27.35,2.73,-10.23,-1.02,40.99,20.50,1
18,Entry long,2022-03-11 05:00,Long Entry,5.962,167.757,1000.167234,16.84,1.68,1.01,27.35,2.73,-10.23,-1.02,40.99,20.50,1
19,Exit long,2022-03-12 01:00,Trailing Stop,5.8815,170.91,1000.16532,4.04,0.40,1,14.54,1.45,-5.63,-0.56,45.03,22.52,0
