Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
1,Exit short,2022-01-03 17:00,Trailing Stop,3770.02,0.2643,999.659247,2.24,0.22,1,12.74,1.27,-3.28,-0.33,2.24,1.12,1
1,Entry short,2022-01-03 13:00,Short Entry,3782.29,0.2643,999.659247,2.24,0.22,1,12.74,1.27,-3.28,-0.33,2.24,1.12,1
2,Exit short,2022-01-04 21:00,Trailing Stop,3805.11,0.2623,999.8876,0.81,0.08,1,11.3,1.13,-6.11,-0.61,3.05,1.53,1
2,Entry short,2022-01-04 17:00,Short Entry,3812,0.2623,999.8876,0.81,0.08,1,11.3,1.13,-6.11,-0.61,3.05,1.53,1
3,Exit long,2022-01-07 09:00,Trailing Stop,3236.64,0.31,999.7717,2.59,0.26,1,13.08,1.31,-0.5,-0.05,5.64,2.82,0
3,Entry long,2022-01-07 09:00,Long Entry,3225.07,0.31,999.7717,2.59,0.26,1,13.08,1.31,-0.5,-0.05,5.64,2.82,0
4,Exit long,2022-01-07 21:00,Trailing Stop,3214.59,0.3128,999.699416,4.82,0.48,1,15.32,1.53,-10.48,-1.05,10.46,5.23,1
4,Entry long,2022-01-07 17:00,Long Entry,3195.97,0.3128,999.699416,4.82,0.48,1,15.32,1.53,-10.48,-1.05,10.46,5.23,1
5,Exit long,2022-01-09 01:00,Trailing Stop,3114.66,0.3246,999.722556,10.29,1.03,1.01,20.79,2.08,-7.92,-0.79,20.75,10.38,1
5,Entry long,2022-01-08 21:00,Long Entry,3079.86,0.3246,999.722556,10.29,1.03,1.01,20.79,2.08,-7.92,-0.79,20.75,10.38,1
6,Exit long,2022-01-10 21:00,Trailing Stop,3065.67,0.3301,999.83989,11.13,1.11,1.01,21.63,2.16,-4.16,-0.42,31.88,15.94,1
6,Entry long,2022-01-10 17:00,Long Entry,3028.9,0.3301,999.83989,11.13,1.11,1.01,21.63,2.16,-4.16,-0.42,31.88,15.94,1
7,Exit long,2022-01-21 09:00,Stop Loss,2825.09,0.3472,999.870032,-19.99,-2.00,0.99,5.3,0.53,-19.5,-1.95,11.89,5.95,1
7,Entry long,2022-01-21 05:00,Long Entry,2879.81,0.3472,999.870032,-19.99,-2.00,0.99,5.3,0.53,-19.5,-1.95,11.89,5.95,1
8,Exit long,2022-01-24 13:00,Stop Loss,2230.63,0.4397,999.807448,-19.99,-2.00,0.99,0,0.00,-19.5,-1.95,-8.1,-4.05,0
8,Entry long,2022-01-24 13:00,Long Entry,2273.84,0.4397,999.807448,-19.99,-2.00,0.99,0,0.00,-19.5,-1.95,-8.1,-4.05,0
9,Exit short,2022-02-07 09:00,Stop Loss,3124.36,0.3261,999.85521,-20.01,-2.00,1.01,3.77,0.38,-19.5,-1.95,-28.1,-14.05,0
9,Entry short,2022-02-07 09:00,Short Entry,3066.1,0.3261,999.85521,-20.01,-2.00,1.01,3.77,0.38,-19.5,-1.95,-28.1,-14.05,0
