Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
1,Exit long,2022-01-06 13:00,Take Profit,154.28,6.683,1000.04412,29.99,3.00,1.02,30.51,3.05,-6.11,-0.61,29.99,15.00,0
1,Entry long,2022-01-06 13:00,Long Entry,149.64,6.683,1000.04412,29.99,3.00,1.02,30.51,3.05,-6.11,-0.61,29.99,15.00,0
2,Exit long,2022-01-07 09:00,Trailing Stop,141.39,7.185,999.93645,14.94,1.49,1.01,25.44,2.54,-0.5,-0.05,44.94,22.47,0
2,Entry long,2022-01-07 09:00,Long Entry,139.17,7.185,999.93645,14.94,1.49,1.01,25.44,2.54,-0.5,-0.05,44.94,22.47,0
3,Exit long,2022-01-07 17:00,Stop Loss,137.57,7.131,1000.05144,-20.03,-2.00,0.99,4.71,0.47,-19.54,-1.95,24.91,12.45,0
3,Entry long,2022-01-07 17:00,Long Entry,140.24,7.131,1000.05144,-20.03,-2.00,0.99,4.71,0.47,-19.54,-1.95,24.91,12.45,0
4,Exit long,2022-01-08 21:00,Trailing Stop,143.99,7.034,999.67208,12.15,1.21,1.01,22.64,2.26,-10.21,-1.02,37.05,18.53,0
4,Entry long,2022-01-08 21:00,Long Entry,142.12,7.034,999.67208,12.15,1.21,1.01,22.64,2.26,-10.21,-1.02,37.05,18.53,0
5,Exit long,2022-01-10 21:00,Trailing Stop,136.14,7.367,999.99658,1.95,0.19,1,12.39,1.24,-0.5,-0.05,39,19.50,0
5,Entry long,2022-01-10 21:00,Long Entry,135.74,7.367,999.99658,1.95,0.19,1,12.39,1.24,-0.5,-0.05,39,19.50,0
6,Exit long,2022-01-24 13:00,Take Profit,90.15,11.436,999.84948,30.09,3.01,1.02,30.61,3.06,-0.5,-0.05,69.09,34.54,0
6,Entry long,2022-01-24 13:00,Long Entry,87.43,11.436,999.84948,30.09,3.01,1.02,30.61,3.06,-0.5,-0.05,69.09,34.54,0
7,Exit short,2022-02-01 17:00,Stop Loss,109.89,9.272,999.89248,-20.02,-2.00,1.01,0.15,0.01,-19.51,-1.95,49.07,24.54,0
7,Entry short,2022-02-01 17:00,Short Entry,107.84,9.272,999.89248,-20.02,-2.00,1.01,0.15,0.01,-19.51,-1.95,49.07,24.54,0
8,Exit short,2022-02-05 09:00,Stop Loss,117.13,8.7,999.978,-20.06,-2.01,1.01,6.46,0.65,-19.55,-1.95,29.01,14.50,0
8,Entry short,2022-02-05 09:00,Short Entry,114.94,8.7,999.978,-20.06,-2.01,1.01,6.46,0.65,-19.55,-1.95,29.01,14.50,0
9,Exit short,2022-02-05 17:00,Stop Loss,115.59,8.816,999.99888,-20.05,-2.00,1.01,5.23,0.52,-19.54,-1.95,8.96,4.48,0
9,Entry short,2022-02-05 17:00,Short Entry,113.43,8.816,999.99888,-20.05,-2.00,1.01,5.23,0.52,-19.54,-1.95,8.96,4.48,0
10,Exit short,2022-02-07 05:00,Trailing Stop,116.54,8.532,999.9504,4.63,0.46,1,15.11,1.51,-6.22,-0.62,13.59,6.80,0
10,Entry short,2022-02-07 05:00,Short Entry,117.2,8.532,999.9504,4.63,0.46,1,15.11,1.51,-6.22,-0.62,13.59,6.80,0
11,Exit short,2022-02-07 21:00,Trailing Stop,117.63,8.337,999.6063,17.93,1.79,0.99,28.35,2.83,-8.92,-0.89,31.53,15.76,1
11,Entry short,2022-02-07 17:00,Short Entry,119.9,8.337,999.6063,17.93,1.79,0.99,28.35,2.83,-8.92,-0.89,31.53,15.76,1
