,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inputs,,,,,,,,,,,,,,,,,,Properties,,,Stats,,,,,,,
,Symbol,Time,Exchange,Copy,,RSI,OB,OS,Lookback,Min bars,TP,SL,Trailing activ.,Trail offset,EMA,ATR,Dist,,Script execution,Order exe delay,,PnL $100,DD $100,PnL 100%,DD 100%,Winrate,Trades,Ops every x days,Profit factor
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BTCUSDT.P,4h,Binance,,,11,72,28,60,0,"4,0%","2,4%","1,1%","0,1%",-,-,-,,all,One tick,,"103,49%","8,78%","165,31%","17,08%","68,66%",268,"6,3","1,49"
,ETHUSDT.P,4h,Binance,,,11,72,28,60,0,"4,0%","2,4%","1,1%","0,1%",-,-,-,,all,One tick,,"203,94%","9,41%","609,88%","17,99%","71,34%",328,"5,1","1,87"
,BNBUSDT.P,4h,Binance,,,11,72,28,60,0,"4,0%","2,4%","1,1%","0,1%",-,-,-,,all,One tick,,"165,89%","7,00%","395,90%","12,78%","73,65%",296,"5,7","1,85"
,SOLUSDT.P,4h,Binance,,,11,72,28,60,0,"4,0%","2,4%","1,1%","0,1%",-,-,-,,all,One tick,,"285,36%","7,44%","1470,44%","13,89%","72,40%",384,"4,4","2,07"
,AAVEUSDT.P,4h,Binance,,,11,72,28,60,0,"4,0%","2,4%","1,1%","0,1%",-,-,-,,all,One tick,,"297,78%","5,85%","1680,65%","11,63%","73,18%",343,"4,9","2,29"
,ADAUSDT.P,4h,Binance,,,11,72,28,60,0,"4,0%","2,4%","1,1%","0,1%",-,-,-,,all,One tick,,"133,34%","21,01%","251,08%","21,33%","66,77%",313,"5,4","1,51"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BTCUSDT.P,1D,Binance,,,11,72,28,60,0,"4,0%","2,4%","1,1%","0,1%",-,-,-,,all,One tick,,,,,,,,...,
,ETHUSDT.P,1D,Binance,,,11,72,28,60,0,"4,0%","2,4%","1,1%","0,1%",-,-,-,,all,One tick,,,,,,,,...,
,BNBUSDT.P,1D,Binance,,,11,72,28,60,0,"4,0%","2,4%","1,1%","0,1%",-,-,-,,all,One tick,,,,,,,,...,
,SOLUSDT.P,1D,Binance,,,11,72,28,60,0,"4,0%","2,4%","1,1%","0,1%",-,-,-,,all,One tick,,,,,,,,...,
,AAVEUSDT.P,1D,Binance,,,,,,,,,,,,,,,,,,,,,,,,,...,
,ADAUSDT.P,1D,Binance,,,,,,,,,,,,,,,,,,,,,,,,,...,
